CustomerID,Recency,Frequency,Monetary
12346,318,2,0.0
12347,32,6,4085.18
12348,68,4,1797.24
12349,11,1,1757.55
12350,303,1,334.4
12352,29,11,1545.41
12353,197,1,89.0
12354,225,1,1079.4
12355,207,1,459.4
12356,15,3,2811.43
12357,26,1,6207.67
12358,143,1,484.86
12359,50,5,6274.23
12360,45,3,2662.06
12361,280,1,189.9
12362,4,12,4625.54
12363,102,2,552.0
12364,33,3,1002.78
12365,284,3,320.69
12370,44,4,3541.94
12371,37,2,1887.96
12372,64,3,1298.04
12373,304,1,364.6
12374,18,1,742.93
12375,3,2,457.5
12377,308,2,1628.12
12378,122,1,4008.62
12379,74,3,850.29
12380,14,5,2720.56
12381,26,5,1656.95
12383,177,6,1839.31
12384,21,3,566.16
12386,330,2,401.9
12388,8,6,2780.66
12390,72,1,549.84
12391,14,1,439.66
12393,65,4,1582.6
12394,56,2,1272.48
12395,8,15,2998.28
12397,28,2,2409.9
12398,38,1,1635.66
12399,112,4,1108.65
12401,296,1,84.3
12402,316,1,225.6
12403,42,2,409.7
12405,141,1,1710.39
12406,15,3,3280.75
12407,42,5,1708.12
12408,25,9,2842.57
12409,71,7,11056.93
12410,294,3,681.08
12412,67,3,1226.88
12413,59,5,694.15
12414,210,3,562.41
12415,17,26,123725.45
12417,22,11,3209.07
12418,105,1,668.58
12420,56,1,600.39
12421,8,5,806.27
12422,88,3,803.56
12423,91,8,1640.47
12424,155,2,1760.96
12425,71,1,777.2
12426,187,1,582.73
12427,4,5,708.37
12428,18,12,7877.2
12429,2,4,3750.4
12430,36,1,256.4
12431,28,18,6348.89
12432,35,5,5059.32
12433,2,5,10737.18
12434,77,4,765.19
12435,72,2,7829.89
12436,92,1,509.01
12437,2,18,4730.76
12438,7,2,2906.85
12441,359,1,173.55
12444,14,5,5005.46
12445,15,1,133.4
12446,50,1,1002.31
12447,236,1,476.49
12448,37,1,449.45
12449,15,4,4067.29
12450,149,2,197.88
12451,3,6,8933.52
12452,9,3,428.57
12453,127,1,707.09
12454,46,2,-0.0
12455,66,6,2466.86
12456,37,4,3153.89
12457,51,12,1917.78
12458,64,2,947.4
12461,87,2,826.88
12462,11,3,1168.79
12463,39,7,1303.63
12464,3,8,1212.05
12465,10,2,742.19
